;
; Texture definition file for Doom1 TEXTURE2 lump
;
;Format of textures:
;TextureName	Width	Height
;*	PatchName	Xoffset	Yoffset
ASHWALL     		64	128
*	W104_1      	0	0
BIGDOOR3    		128	128
*	DOOR9_2     	0	0
BIGDOOR5    		128	128
*	WALL40_1    	0	0
*	WALL42_3    	51	0
*	WALL42_3    	0	0
*	WALL42_3    	104	0
BIGDOOR6    		128	112
*	DOOR11_1    	4	0
*	DOOR11_1    	124	0
*	DOOR11_1    	-116	0
BIGDOOR7    		128	128
*	W105_1      	-4	-4
*	W105_1      	124	-4
BLODGR1     		32	128
*	TP5_1       	0	0
BLODGR2     		32	128
*	TP5_2       	0	0
BLODGR3     		32	128
*	TP5_3       	0	0
BLODGR4     		32	128
*	TP5_4       	0	0
BLODRIP1    		32	128
*	RP2_1       	0	0
BLODRIP2    		32	128
*	RP2_2       	0	0
BLODRIP3    		32	128
*	RP2_3       	0	0
BLODRIP4    		32	128
*	RP2_4       	0	0
BROVINE     		256	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	WALL02_1    	88	56
*	WALL02_1    	88	0
*	WALL02_3    	64	56
*	WALL02_3    	64	0
*	WALL02_3    	152	56
*	WALL02_3    	152	0
*	WALL02_3    	232	56
*	WALL02_2    	176	56
*	WALL02_3    	232	0
*	WALL02_2    	176	0
*	W107_1      	0	0
BROVINE2    		256	128
*	WALL62_2    	0	0
*	WALL62_2    	64	0
*	WALL62_2    	128	0
*	WALL62_2    	192	0
*	W106_1      	0	0
BROWNWEL    		256	72
*	WALL03_4    	0	0
*	WALL03_3    	128	0
*	WALL03_4    	64	0
*	WALL03_4    	192	0
CEMENT1     		128	128
*	WALL52_1    	0	0
CEMENT2     		128	128
*	WALL53_1    	0	0
CEMENT3     		128	128
*	WALL54_1    	0	0
CEMENT4     		128	128
*	WALL55_1    	0	0
CEMENT5     		128	128
*	WALL52_2    	0	0
CEMENT6     		128	128
*	WALL54_2    	0	0
CEMPOIS     		128	128
*	WALL52_1    	0	0
*	PS20A0      	0	28
COMPBLUE    		64	128
*	COMP03_1    	0	0
*	COMP03_2    	0	64
COMPOHSO    		128	128
*	WALL21_1    	64	70
*	WALL21_5    	0	70
*	WALL21_3    	0	-2
*	WALL21_1    	64	-2
COMPWERD    		64	128
*	COMP04_6    	0	0
*	COMP04_6    	0	64
CRATE1      		64	128
*	BCRATEL1    	0	0
*	BCRATER1    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
CRATE2      		64	128
*	GCRATEL1    	0	0
*	GCRATER1    	32	0
*	GCRATEL1    	0	64
*	GCRATER1    	32	64
CRATELIT    		64	128
*	SGCRATE2    	0	0
*	SGCRATE2    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
CRATINY     		64	16
*	VGCRATE1    	0	0
*	VGCRATE1    	16	0
*	VGCRATE1    	32	0
*	VGCRATE1    	48	0
CRATWIDE    		128	128
*	BCRATEL1    	0	64
*	BCRATEM1    	40	64
*	BCRATEM1    	32	64
*	BCRATEM1    	48	64
*	BCRATEM1    	56	64
*	BCRATER1    	96	64
*	BCRATEM1    	88	64
