;
; Texture definition file for all Doom II textures
;
;Format of textures:
;TextureName	Width	Height
;*	PatchName	Xoffset	Yoffset
AASHITTY    		64	64
*	BODIES      	0	0
ASHWALL2    		64	128
*	RW22_1      	0	0
ASHWALL3    		64	128
*	RW22_2      	0	0
ASHWALL4    		64	128
*	RW22_3      	0	0
ASHWALL6    		64	128
*	RW27_2      	0	0
ASHWALL7    		64	128
*	RW27_3      	0	0
BFALL1      		64	128
*	BFALL1      	0	0
BFALL2      		64	128
*	BFALL2      	0	0
BFALL3      		64	128
*	BFALL3      	0	0
BFALL4      		64	128
*	BFALL4      	0	0
BIGBRIK1    		64	128
*	RW23_3      	0	0
BIGBRIK2    		64	128
*	RW23_4      	0	0
BIGBRIK3    		64	128
*	RW38_4      	0	0
BIGDOOR1    		128	96
*	W13_1       	0	0
*	W13_1       	0	24
*	DOOR2_1     	17	0
*	W13_1       	113	0
*	W13_1       	113	25
BIGDOOR2    		128	128
*	DOOR2_4     	0	0
BIGDOOR3    		128	128
*	DOOR9_2     	0	0
BIGDOOR4    		128	128
*	DOOR9_1     	0	0
BIGDOOR5    		128	128
*	WALL40_1    	0	0
*	WALL42_3    	51	0
*	WALL42_3    	0	0
*	WALL42_3    	104	0
BIGDOOR6    		128	112
*	DOOR11_1    	4	0
*	DOOR11_1    	124	0
*	DOOR11_1    	-116	0
BIGDOOR7    		128	128
*	W105_1      	-5	0
*	W105_1      	123	0
BLAKWAL1    		64	128
*	RW34_1      	0	0
BLAKWAL2    		64	128
*	RW34_2      	0	0
BLODRIP1    		32	128
*	RP2_1       	0	0
BLODRIP2    		32	128
*	RP2_2       	0	0
BLODRIP3    		32	128
*	RP2_3       	0	0
BLODRIP4    		32	128
*	RP2_4       	0	0
BRICK1      		64	128
*	RW1_3       	0	0
BRICK10     		64	128
*	RW41_1      	0	0
BRICK11     		64	128
*	RW41_3      	0	0
BRICK12     		64	128
*	RW41_4      	0	0
BRICK2      		64	128
*	RW1_4       	0	0
BRICK3      		64	128
*	RW5_1       	0	0
BRICK4      		64	128
*	RW5_2       	0	0
BRICK5      		128	128
*	RW5_3       	0	0
*	RW5_4       	64	0
BRICK6      		64	128
*	RW24_1      	0	0
BRICK7      		64	128
*	RW24_2      	0	0
BRICK8      		64	128
*	RW24_3      	0	0
BRICK9      		64	128
*	RW24_4      	0	0
BRICKLIT    		64	128
*	RW12_3      	0	0
BRNPOIS     		128	128
*	WALL62_2    	0	0
*	PS20A0      	1	60
*	WALL62_2    	64	0
BRNSMAL1    		64	64
*	W111_2      	0	0
BRNSMAL2    		64	64
*	W111_3      	0	0
BRNSMALC    		64	64
*	W112_1      	0	0
BRNSMALL    		32	64
*	W112_3      	0	0
BRNSMALR    		32	64
*	W112_2      	0	0
BRONZE1     		64	128
*	RW10_1      	0	0
BRONZE2     		64	128
*	RW10_2      	0	0
BRONZE3     		64	128
*	RW10_3      	0	0
BRONZE4     		64	128
*	RW38_3      	0	0
BROVINE2    		256	128
*	WALL62_2    	0	0
*	WALL62_2    	64	0
*	WALL62_2    	128	0
*	WALL62_2    	192	0
*	W106_1      	0	0
BROWN1      		128	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	WALL02_3    	64	56
*	WALL02_1    	88	56
*	WALL02_3    	64	0
*	WALL02_1    	88	0
BROWN144    		128	128
*	WALL00_5    	0	0
*	WALL00_6    	16	0
*	WALL00_7    	32	0
*	WALL00_8    	48	0
*	WALL00_6    	64	0
*	WALL00_6    	112	-16
*	WALL00_7    	96	-1
*	WALL00_6    	80	0
BROWN96     		128	128
*	WALL62_1    	0	0
BROWNGRN    		64	128
*	WALL62_2    	0	0
BROWNHUG    		64	128
*	WALL03_4    	0	0
*	WALL03_4    	0	72
BROWNPIP    		128	128
*	TP2_1       	0	0
*	STEP07      	0	64
*	STEP07      	32	64
*	STEP07      	64	64
*	STEP07      	96	64
*	WALL05_2    	0	72
*	WALL05_2    	64	72
*	STEP07      	0	120
*	STEP07      	32	120
*	STEP07      	64	120
*	STEP07      	96	120
BRWINDOW    		64	128
*	RW6_1       	0	0
BSTONE1     		64	128
*	RW1_1       	0	0
BSTONE2     		64	128
*	RW1_2       	0	0
BSTONE3     		64	128
*	RW12_2      	0	0
CEMENT1     		128	128
*	WALL52_1    	0	0
CEMENT2     		128	128
*	WALL53_1    	0	0
CEMENT3     		128	128
*	WALL54_1    	0	0
CEMENT4     		128	128
*	WALL55_1    	0	0
CEMENT5     		128	128
*	WALL52_2    	0	0
CEMENT6     		128	128
*	WALL54_2    	0	0
CEMENT7     		64	128
*	RW7_1       	0	0
CEMENT8     		64	128
*	RW11_3      	0	0
CEMENT9     		64	128
*	RW28_1      	0	0
COMPBLUE    		64	128
*	COMP03_1    	0	0
*	COMP03_2    	0	64
COMPSPAN    		32	128
*	COMP03_4    	0	0
*	COMP03_4    	0	64
COMPSTA1    		128	128
*	TOMW2_1     	0	0
*	AG128_2     	0	72
*	AG128_2     	64	72
COMPSTA2    		128	128
*	TOMW2_2     	0	0
*	AG128_2     	0	72
*	AG128_2     	64	72
COMPTALL    		256	128
*	COMP04_5    	32	0
*	COMP04_8    	96	0
*	COMP03_8    	160	0
*	COMP04_6    	0	64
*	COMP04_7    	64	64
*	COMP04_2    	128	64
*	COMP03_5    	192	0
*	COMP04_1    	192	64
*	COMP03_8    	0	0
COMPWERD    		64	128
*	COMP04_6    	0	0
*	COMP04_6    	0	64
CRACKLE2    		64	128
*	RW44_2      	0	0
CRACKLE4    		64	128
*	RW44_4      	0	0
CRATE1      		64	128
*	BCRATEL1    	0	0
*	BCRATER1    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
CRATE2      		64	128
*	GCRATEL1    	0	0
*	GCRATER1    	32	0
*	GCRATEL1    	0	64
*	GCRATER1    	32	64
CRATE3      		64	128
