;Format of textures:
;TextureName	Width	Height
;*	PatchName	Xoffset	Yoffset

; aastinky is different to the original, it is 32 wide
; instead of 24. textures are supposed to have widths
; in powers of 2
AASTINKY    		32	72
*	WALL00_3    	0	0
*	WALL00_3    	12	-6
*	WALL00_3	24	-12
BIGDOOR1    		128	96
*	W13_1       	0	0
*	W13_1       	0	24
*	DOOR2_1     	17	0
*	W13_1       	113	0
*	W13_1       	113	25
BIGDOOR2    		128	128
*	DOOR2_4     	0	0
BIGDOOR4    		128	128
*	DOOR9_1     	0	0
BRNBIGC     		128	128
*	W113_1      	0	0
BRNBIGL     		32	128
*	W113_2      	0	0
BRNBIGR     		32	128
*	W113_3      	0	0
BRNPOIS     		64	128
*	WALL62_2    	0	0
*	PS20A0      	1	60
BRNPOIS2    		64	128
*	WALL62_1    	0	0
*	PS20A0      	0	57
BRNSMAL1    		64	64
*	W111_2      	0	0
BRNSMAL2    		64	64
*	W111_3      	0	0
BRNSMALC    		64	64
*	W112_1      	0	0
BRNSMALL    		32	64
*	W112_3      	0	0
BRNSMALR    		32	64
*	W112_2      	0	0
BROWN1      		128	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	WALL02_3    	64	56
*	WALL02_1    	88	56
*	WALL02_3    	64	0
*	WALL02_1    	88	0
BROWN144    		128	128
*	WALL00_5    	0	0
*	WALL00_6    	16	0
*	WALL00_7    	32	0
*	WALL00_8    	48	0
*	WALL00_6    	64	0
*	WALL00_6    	112	-16
*	WALL00_7    	96	-1
*	WALL00_6    	80	0
BROWN96     		128	128
*	WALL62_1    	0	0
BROWNGRN    		64	128
*	WALL62_2    	0	0
BROWNHUG    		64	128
*	WALL03_4    	0	0
*	WALL03_4    	0	72
BROWNPIP    		128	128
*	TP2_1       	0	0
*	STEP07      	0	64
*	STEP07      	32	64
*	STEP07      	64	64
*	STEP07      	96	64
*	WALL05_2    	0	72
*	WALL05_2    	64	72
*	STEP07      	0	120
*	STEP07      	32	120
*	STEP07      	64	120
*	STEP07      	96	120
COMP2       		256	128
*	COMP02_1    	0	0
*	COMP02_2    	64	0
*	COMP02_4    	128	0
*	COMP02_3    	192	0
*	COMP02_6    	0	64
*	COMP02_8    	64	64
*	COMP02_7    	128	64
*	COMP02_5    	192	64
*	STEP08      	0	56
*	STEP08      	32	56
*	STEP08      	64	56
*	STEP08      	96	56
*	STEP08      	128	56
*	STEP08      	160	56
*	STEP08      	192	56
*	STEP08      	224	56
*	STEP08      	0	120
*	STEP08      	32	120
*	STEP08      	64	120
*	STEP08      	96	120
*	STEP08      	128	120
*	STEP08      	160	120
*	STEP08      	192	120
*	STEP08      	224	120
COMPSPAN    		32	128
*	COMP03_4    	0	0
*	COMP03_4    	0	64
COMPSTA1    		128	128
*	TOMW2_1     	0	0
*	AG128_2     	0	72
*	AG128_2     	64	72
COMPSTA2    		128	128
*	TOMW2_2     	0	0
*	AG128_2     	0	72
*	AG128_2     	64	72
COMPTALL    		256	128
*	COMP04_5    	32	0
*	COMP04_8    	96	0
*	COMP03_8    	160	0
*	COMP04_6    	0	64
*	COMP04_7    	64	64
*	COMP04_2    	128	64
*	COMP03_5    	192	0
*	COMP04_1    	192	64
*	COMP03_8    	0	0
COMPTILE    		128	128
*	COMP03_7    	0	0
*	COMP03_1    	32	0
*	COMP03_6    	96	0
*	COMP03_7    	0	64
*	COMP03_1    	32	64
*	COMP03_6    	96	64
COMPUTE1    		128	128
*	COMP01_5    	26	64
*	COMP01_1    	0	64
*	W33_8       	0	56
*	W33_8       	64	56
*	W33_8       	0	120
*	W33_8       	64	120
*	COMP01_5    	28	0
*	COMP1C_6    	72	64
*	COMP01_6    	72	0
*	COMP1B_4    	0	0
COMPUTE2    		256	56
*	COMP02_1    	0	0
*	COMP02_2    	64	0
*	COMP02_3    	128	0
*	COMP02_7    	192	0
COMPUTE3    		128	128
*	SW11_4      	0	4
*	SW11_5      	32	4
*	SW11_4      	64	4
*	COMP02_1    	0	0
*	SW11_5      	96	4
*	COMP02_2    	64	0
*	STEP08      	0	56
*	STEP08      	32	56
*	STEP08      	64	56
*	STEP08      	96	56
DOOR1       		64	72
*	WALL03_1    	0	0
DOOR3       		64	72
*	DOOR2_5     	0	0
DOORBLU     		8	128
*	W46_37      	0	112
*	W46_37      	0	0
*	W46_37      	0	96
*	W46_37      	0	80
*	W46_37      	0	16
*	W46_37      	0	32
*	W46_37      	0	48
*	W46_37      	0	64
DOORRED     		8	128
*	W46_38      	0	0
*	W46_38      	0	16
*	W46_38      	0	32
*	W46_38      	0	48
*	W46_38      	0	64
*	W46_38      	0	80
*	W46_38      	0	96
*	W46_38      	0	112
DOORSTOP    		8	128
*	TTALL1_2    	0	0
DOORTRAK    		8	128
*	DOORTRAK    	0	0
DOORYEL     		8	128
*	W46_39      	0	112
*	W46_39      	0	80
*	W46_39      	0	64
*	W46_39      	0	0
*	W46_39      	0	16
*	W46_39      	0	48
*	W46_39      	0	32
*	W46_39      	0	96
EXITDOOR    		128	72
*	DOOR3_6     	0	0
*	DOOR3_4     	64	0
*	DOOR3_5     	88	0
*	T14_5       	112	0
EXITSIGN    		64	16
*	EXIT1       	0	0
*	EXIT2       	32	0
*	EXIT2       	40	0
*	EXIT2       	48	0
*	EXIT2       	56	0
GRAY4       		64	128
*	W33_5       	0	0
*	W33_5       	0	64
GRAY5       		64	128
*	W33_7       	0	72
*	W33_7       	0	0
*	W33_8       	0	64
GRAY7       		256	128
*	W32_4       	0	0
*	W32_1       	64	0
*	W32_4       	128	0
*	W33_8       	0	120
*	W33_8       	64	120
*	W33_8       	128	120
*	W32_4       	192	0
*	W33_8       	192	120
*	W32_4       	64	56
*	W32_1       	128	56
*	W32_4       	192	56
*	W32_4       	0	56
GRAYTALL    		128	128
*	WALL00_1    	16	0
*	WALL00_3    	80	0
*	WALL00_2    	0	0
*	WALL00_1    	96	0
LITE2       		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	FLAMP       	5	0
*	FLAMP       	35	0
LITE3       		32	128
*	WLITA0      	0	0
*	WLITB0      	8	0
*	WLITB0      	16	0
*	WLITC0      	24	0
*	WLITA0      	0	8
*	WLITB0      	8	8
*	WLITB0      	16	8
*	WLITC0      	24	8
*	WLITA0      	0	16
*	WLITB0      	8	16
*	WLITB0      	16	16
*	WLITC0      	24	16
*	WLITA0      	0	24
*	WLITB0      	8	24
*	WLITB0      	16	24
*	WLITC0      	24	24
*	WLITA0      	0	32
*	WLITB0      	8	32
*	WLITB0      	16	32
*	WLITC0      	24	32
*	WLITA0      	0	40
*	WLITB0      	8	40
*	WLITB0      	16	40
*	WLITC0      	24	40
*	WLITA0      	0	48
*	WLITB0      	8	48
*	WLITB0      	16	48
*	WLITC0      	24	48
*	WLITA0      	0	56
*	WLITB0      	8	56
*	WLITB0      	16	56
*	WLITC0      	24	56
*	WLITA0      	0	64
*	WLITB0      	8	64
*	WLITB0      	16	64
*	WLITC0      	24	64
*	WLITA0      	0	72
*	WLITB0      	8	72
*	WLITB0      	16	72
*	WLITC0      	24	72
*	WLITA0      	0	80
*	WLITB0      	8	80
*	WLITB0      	16	80
*	WLITC0      	24	80
*	WLITA0      	0	88
*	WLITB0      	8	88
*	WLITB0      	16	88
*	WLITC0      	24	88
*	WLITA0      	0	96
*	WLITB0      	8	96
*	WLITB0      	16	96
*	WLITC0      	24	96
*	WLITA0      	0	104
*	WLITB0      	8	104
*	WLITB0      	16	104
*	WLITC0      	24	104
*	WLITA0      	0	112
*	WLITB0      	8	112
*	WLITB0      	16	112
*	WLITC0      	24	112
*	WLITA0      	0	120
*	WLITB0      	8	120
*	WLITB0      	16	120
*	WLITC0      	24	120
LITE4       		16	128
*	T14_5       	0	56
*	WLITA0      	0	0
*	WLITC0      	8	0
*	WLITA0      	0	48
*	WLITC0      	8	48
*	WLITA0      	0	40
*	WLITC0      	8	40
*	WLITA0      	0	32
*	WLITC0      	8	32
*	WLITA0      	0	24
*	WLITC0      	8	24
*	WLITA0      	0	16
*	WLITC0      	8	16
*	WLITA0      	0	8
*	WLITC0      	8	8
LITE5       		16	128
*	WLITA0      	0	0
*	WLITC0      	8	0
*	WLITA0      	0	8
*	WLITC0      	8	8
*	WLITA0      	0	16
*	WLITC0      	8	16
*	WLITA0      	0	24
*	WLITC0      	8	24
*	WLITA0      	0	32
*	WLITC0      	8	32
*	WLITA0      	0	40
*	WLITC0      	8	40
*	WLITA0      	0	48
*	WLITC0      	8	48
*	WLITA0      	0	56
*	WLITC0      	8	56
*	WLITA0      	0	64
*	WLITC0      	8	64
*	WLITA0      	0	72
*	WLITC0      	8	72
*	WLITA0      	0	80
*	WLITC0      	8	80
*	WLITA0      	0	88
*	WLITC0      	8	88
*	WLITA0      	0	96
*	WLITC0      	8	96
*	WLITA0      	0	104
*	WLITC0      	8	104
*	WLITA0      	0	112
*	WLITC0      	8	112
*	WLITA0      	0	120
*	WLITC0      	8	120
LITEBLU1    		8	128
*	AGB128_1    	0	0
LITEBLU2    		16	72
*	W13_A       	0	0
LITEBLU3    		16	128
*	W13_8       	0	0
*	W13_8       	0	56
LITEBLU4    		16	128
*	BLITA0      	0	0
*	BLITB0      	8	0
*	BLITC0      	8	0
*	BLITA0      	0	8
*	BLITC0      	8	8
*	BLITA0      	0	16
*	BLITC0      	8	16
